country_id	party	party_id	cee	ches_id	family	cmp_id	parlgov_id	manichean	indivisble	generalwill	peoplecentrism	antielitism	complex	emotional	lroverall	lrecon	immigration	eu	nativism	laworder	lifestyle	intradem	personalised	nr_experts	mean_expert_response	populism
1.0	"SPO"	101.0	0	1301	5	42320	973	3.6666667	3.7692308	3.6923077	3.6923077	3.2307692	6.4615383	4.8461537	3.5384614	2.9230769	5.4615383	8.076923	2.4615386	3.3846154	7.3846154	6.3076925	6.230769	13.0	12.9375	2.1767893
1.0	"OVP"	102.0	0	1302	4	42520	1013	5.5833335	5.0	5.076923	4.076923	3.7692308	4.769231	6.769231	7.3076925	7.6153846	2.0769231	6.3076925	6.5384617	7.0	2.9230769	4.5384617	8.538462	13.0	12.9375	3.8023138
1.0	"FPO"	103.0	0	1303	1	42420	50	7.9166665	8.384615	8.461538	8.538462	8.583333	1.6923077	8.769231	8.538462	6.230769	0.3846154	1.5384616	9.307693	9.153846	2.3076923	2.6153846	8.615385	13.0	12.875	8.89849
1.0	"Gruene"	104.0	0	1304	7	42110	1429	4.1666665	1.9230769	2.3076923	3.7692308	3.5384614	7.0	4.6153846	2.6923077	2.6153846	8.076923	8.769231	0.6923077	1.3076923	8.384615	8.153846	3.1538463	13.0	12.9375	1.4776975
1.0	"NEOS"	105.0	0	1306	3	42430	2255	3.5833333	1.9230769	2.3846154	3.6923077	3.5384614	6.0	4.3846154	6.0	7.4615383	6.076923	9.230769	1.9230769	1.6153846	8.153846	7.6666665	6.3076925	13.0	12.875	1.339997
1.0	"PILZ"	106.0	0		7	42120	2651	4.7777777	3.2	3.5555556	4.2	5.3333335	4.4	5.0833335	3.0	2.7272727	5.75	7.0	2.8181818	2.4615386	7.8333335	5.7777777	6.1	13.0	10.75	2.9701104
2.0	"NVA"	201.0	0	110	8	21916	501	7.4615383	6.571429	6.285714	4.769231	5.714286	3.5	8.214286	7.928571	8.214286	1.7857143	4.357143	7.6923075	8.571428	3.642857	4.230769	9.0	14.0	13.75	5.749244
2.0	"CDV"	202.0	0	109	4	21521	723	3.0	3.5	3.642857	3.5714285	2.2857144	7.428571	3.7857144	5.071429	5.214286	4.642857	8.0	5.0	5.357143	3.5714285	5.857143	5.285714	14.0	13.875	1.6971735
2.0	"OVLD"	203.0	0	107	3	21421	1110	2.7692308	2.357143	3.0	4.357143	2.4285715	6.642857	4.428571	6.571429	8.071428	4.357143	8.5	4.3846154	4.285714	8.214286	6.6923075	5.428571	14.0	13.8125	1.4224911
2.0	"SPa"	204.0	0	103	5	21321	1029	4.769231	3.357143	3.7857144	4.714286	4.357143	6.357143	5.5	2.857143	2.642857	6.142857	8.0	3.4615386	3.857143	7.928571	6.142857	5.071429	14.0	13.875	3.0256002
2.0	"GROEN"	205.0	0	105	7	21112	1594	3.8461537	2.642857	3.0714285	4.714286	4.928571	6.642857	5.642857	2.0714285	2.5	7.571429	8.0	1.6923077	2.5	9.071428	8.357142	4.857143	14.0	13.875	2.4440436
2.0	"VB"	206.0	0	112	1	21917	993	8.692307	8.5	8.071428	7.928571	8.857142	1.4285715	9.214286	9.214286	5.3846154	0.14285715	2.5714285	9.692307	9.5	1.7857143	2.6923077	6.857143	14.0	13.75	8.802279
2.0	"PVDAPTB"	207.0	0	119	6		256	8.272727	6.7	6.909091	7.7272725	9.0	2.3333333	7.923077	0.71428573	0.71428573	7.25	2.857143	2.3	2.857143	6.9	5.8333335	5.6153846	14.0	10.5625	7.8668714
3.0	"PS"	301.0	0	102	5	21322	1378	5.2222223	3.375	4.75	4.625	4.6666665	5.5	6.3333335	2.4444444	2.3333333	6.0	7.5555553	2.2222223	2.6666667	8.0	5.4444447	6.6666665	9.0	8.75	3.7348604
3.0	"MR"	302.0	0	106	3	21426	915	4.888889	4.2222223	3.625	3.375	2.4444444	6.125	5.111111	6.888889	7.3333335	3.1111112	8.333333	5.0	6.3333335	6.7777777	4.6666665	6.6666665	9.0	8.8125	2.2492518
3.0	"CDH"	303.0	0	108	4	21521	1192	3.7777777	4.2222223	4.125	3.875	3.3333333	5.375	4.6666665	5.0	5.111111	5.111111	8.111111	3.8888888	5.0	3.5555556	5.0	6.3333335	9.0	8.8125	2.5585723
3.0	"Ecolo"	304.0	0	104	7	21111	161	4.4444447	2.8888888	4.625	5.875	5.2222223	7.0	5.2222223	2.8888888	3.1111112	7.888889	8.0	1.2222222	1.5555556	9.222222	8.333333	3.5555556	9.0	8.8125	3.8717809
3.0	"FDF"	305.0	0	111	8	21912	969	5.111111	3.625	4.25	4.5	3.0	6.125	5.3333335	4.888889	4.7777777	5.875	8.375	3.1111112	4.111111	7.4444447	5.6666665	8.0	9.0	8.625	3.0354648
3.0	"PP"	306.0	0	120	2		438	9.111111	7.875	7.125	7.857143	6.6666665	2.5	9.555555	9.25	8.125	0.44444445	2.5714285	7.888889	9.555555	2.0	1.75	8.888889	9.0	8.3125	7.82154
4.0	"GERB"	401.0	1	2010	2	80510	1541	3.5	5.6666665	4.0	4.8333335	2.8333333	6.0	5.0	6.8333335	7.5	4.0	9.0	3.5	5.3333335	5.5	3.6	8.5	6.0	5.9375	2.6773608
4.0	"BSPKzB"	402.0	1	2003	5	80220	1160	4.0	6.0	4.5	4.5	3.8333333	6.5	5.5	3.1666667	2.5	3.8333333	7.3333335	4.3333335	4.8333335	3.3333333	6.4	3.3333333	6.0	5.9375	3.2585196
