country_id	party	party_id	cee	ches_id	family	cmp_id	parlgov_id	manichean	indivisble	generalwill	peoplecentrism	antielitism	complex	emotional	lroverall	lrecon	immigration	eu	nativism	laworder	lifestyle	intradem	personalised	nr_experts	mean_expert_response	populism
5.0	"HDZ"	501.0	1	3101	4	81711	276	5.0	5.5	5.5	3.0	2.0	6.0	8.0	7.0	4.0	3.0	7.5	8.0	7.5	2.5	3.5	7.0	8.0	7.9375	3.3867378
5.0	"HSLS"	502.0	1	3104	3	81410	1102	4.5	3.0	3.0	2.0	0.5	7.5	3.0	5.0	6.0	5.5	9.0	4.0	3.5	6.5	3.0	5.0	8.0	7.6875	1.3270591
5.0	"SDP"	503.0	1	3102	5	81223	1493	4.0	3.5	4.5	3.0	1.0	7.0	5.0	4.0	4.0	7.0	8.5	3.0	2.5	7.5	5.5	5.5	8.0	7.9375	2.2070699
5.0	"HNS"	504.0	1	3105	3	81712	1384	3.5	2.5	2.5	2.5	1.0	7.0	2.0	4.5	5.0	5.0	9.0	2.5	2.5	6.5	4.0	5.5	8.0	7.875	1.0446361
5.0	"HSU"	505.0	1		9	81957	2134	3.0	3.0	3.0	4.0	2.0	5.0	3.0	4.5	3.0		7.0	3.5	4.0	5.0	3.0	5.0	8.0	6.375	1.7521791
5.0	"HSS"	506.0	1	3103	11	81810	1465	3.5	4.0	4.0	3.5	2.5	5.0	4.0	5.5	4.0	5.0	6.5	5.0	4.5	3.5	3.0	5.5	8.0	7.75	2.4376073
5.0	"P"	507.0	1		3			5.5	1.5	4.0	3.5	3.5	7.5	2.0	4.0	6.5	7.0	10.0	0.5	0.5	9.5	5.0	6.5	8.0	7.375	2.7370415
5.0	"ZZ"	508.0	1		1	81960	2612	10.0	8.0	9.0	9.0	10.0	1.0	9.0	3.0	1.0	5.0	1.5	3.0	3.5	5.0	3.0	7.5	8.0	7.3125	9.4436865
5.0	"BM365"	509.0	1		5	81961	2628	5.0	6.5	7.0	5.5	5.0	2.5	7.0	5.0	4.0	6.0	6.5	4.0	6.0	4.0	2.0	10.0	8.0	7.375	5.365639
5.0	"IDS"	510.0	1	3106	8	81953	1627	3.0	2.0	2.0	2.0	0.5	6.5	4.0	2.5	5.5	7.5	10.0	1.0	1.5	8.0	4.0	6.0	8.0	7.4375	0.4325976
5.0	"MOST"	511.0	1		2	81460	2615	7.5	8.5	8.0	9.0	8.5	2.5	8.0	6.0	5.0	4.0	5.5	6.5	5.0	2.5	3.5	7.0	8.0	7.875	8.198695
5.0	"HDSSB"	512.0	1	3107	8	81952	2135	3.5	3.5	5.0	3.0	3.0	4.5	6.0	8.0	7.0	2.0	4.0	8.5	8.0	1.5	2.0	8.5	8.0	7.375	2.7712336
5.0	"NHR"	513.0	1		1			7.5	6.0	7.5	6.0	6.0	3.0	8.0	10.0	7.0	1.5	3.0	10.0	8.0	1.0	1.0	10.0	8.0	7.375	6.394803
5.0	"GLAS"	514.0	1		3			4.0	3.0	2.0	2.0	0.0	8.0	2.0	2.0	5.5	6.5	10.0	1.0	0.5	9.0	5.0	6.0	8.0	7.125	0.6987348
6.0	"DISY"	601.0	0	4001	2	55711	1575	4.5	6.0	7.0	5.0	3.0	8.0		7.0	8.0	5.0	9.5	6.5	4.0	4.5	6.0	6.0	4.0	3.9375	4.5900073
6.0	"AKEL"	602.0	0	4003	6	55321	572	5.5	6.0	6.0	7.0	8.5	5.5		2.5	2.0	7.0	4.0	3.5	3.0	6.0	3.0	4.0	4.0	3.9375	6.152167
6.0	"DIKO"	603.0	0	4004	2	55422	851	7.5	7.5	8.5	6.5	5.5	5.5		6.5	6.0	4.0	7.0	8.0	5.5	4.0	5.0	7.0	4.0	3.9375	7.0082207
6.0	"EDEK"	604.0	0	4005	5	55322	945	7.0	8.0	7.0	6.5	6.5	5.5		4.5	4.0	4.5	7.0	5.5	4.5	4.5	5.0	7.0	4.0	3.9375	6.6227984
6.0	"SYPOL"	605.0	0		5	55340	2341	7.0	8.5	9.0	9.0	9.0			5.0			6.5		4.5	4.5	5.0	9.0	4.0	3.6875	8.599265
6.0	"KA"	606.0	0		1	55610	2626		8.0						7.5			7.5		6.0	3.0	4.0	9.5	4.0	3.3125	
6.0	"KOP"	607.0	0	4006	7	55110	1621	5.5	5.5	6.0	6.5	7.5			4.5	4.0	5.0	7.5	5.0	3.0	4.5	6.5	5.5	4.0	3.875	5.730879
6.0	"ELAM"	608.0	0		1	55720	1768		9.5	10.0					10.0		0.0	3.5		10.0	0.5		7.0	4.0	3.4375	
7.0	"CSSD"	701.0	1	2101	5	82320	789	4.0	3.0	5.0	4.0	3.0	6.5	4.0	3.0	3.0	3.0	7.0	5.0	5.0	5.0	8.0	3.0	11.0	10.9375	3.008828
7.0	"ANO"	702.0	1	2111	9	82430	2263	8.0	7.0	7.0	5.0	8.0	2.0	9.0	5.0	6.0	2.0	6.0	5.0	6.0	6.0	2.0	10.0	11.0	10.5625	6.7480984
7.0	"KSCM"	703.0	1	2103	6	82220	1173	7.0	5.0	7.0	6.0	7.0	5.0	6.0	1.0	1.0	3.0	3.0	6.0	8.0	3.0	7.0	5.0	11.0	10.9375	6.1656694
7.0	"TOP09"	704.0	1	2109	2	82530	2	3.0	3.0	3.0	2.0	1.0	7.5	4.0	8.0	8.0	6.0	10.0	2.0	3.0	7.0	7.0	6.0	11.0	10.9375	1.1056613
7.0	"KDUCSL"	705.0	1	2104	4	82523	1245	4.0	3.0	2.0	2.0	1.0	7.0	3.0	6.0	6.0	5.0	9.0	4.0	4.0	2.0	8.0	5.0	11.0	10.9375	0.93920195
7.0	"SPD"	706.0	1	2115	1	82721	2654	9.0	9.0	9.0	10.0	10.0	0.0	10.0	10.0	5.0	0.0	0.0	10.0	10.0	1.5	1.0	10.0	11.0	10.3125	9.577574
7.0	"STAN"	707.0	1	2116	9	82610	2024	4.0	3.0	2.0	1.5	1.0	7.0	4.0	6.0	6.0	5.0	9.0	2.0	4.0	6.0	8.0	4.0	11.0	10.625	0.8376892
7.0	"Pirati"	708.0	1	2114	9	82953	2261	5.0	2.0	3.0	5.0	5.0	5.0	5.0	5.0	4.5	6.0	7.5	1.0	1.0	9.0	9.0	4.0	11.0	10.4375	2.9734974
7.0	"SZ"	709.0	1	2107	7	82110	196	6.0	2.5	3.0	5.5	5.0	6.0	5.0	4.0	4.0	8.0	9.0	1.0	1.0	9.0	9.0	3.5	11.0	10.5	3.3820724
7.0	"ODS"	710.0	1	2102	2	82413	829	3.0	3.0	2.0	2.0	1.0	7.5	4.0	8.0	9.0	2.0	3.0	6.0	5.0	4.0	7.0	5.0	11.0	10.9375	0.71144766
