id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
biden_sotu_02_032,Biden,SOTU,02,32,"For too many decades, we imported projects and exported jobs. Now, thanks to what you've all done, we're exporting American products and creating American jobs. Folks, inflation—inflation has been a global problem because the pandemic disrupted our supply chains, and Putin's unfair and brutal war in Ukraine disrupted energy supplies as well as food supplies, blocking all that grain in Ukraine.",0,61,396,3,18.3
biden_sotu_02_033,Biden,SOTU,02,33,But we're better positioned than any country on Earth right now.,0,11,64,1,3.3
biden_sotu_02_034,Biden,SOTU,02,34,But we have more to do.,0,6,23,1,1.8
biden_sotu_02_035,Biden,SOTU,02,35,"But here at home, inflation is coming down. Here at home, gas prices are down $1.50 from their peak. Food inflation is coming down, not fast enough, but coming down.",0,30,165,4,9.0
biden_sotu_02_036,Biden,SOTU,02,36,"Inflation has fallen every month for the last 6 months, while take-home pay has gone up. Additionally, over the last 2 years, a record 10 million Americans applied to start new businesses. Ten million.",0,34,201,3,10.2
biden_sotu_02_037,Biden,SOTU,02,37,"And by the way, every time—every time someone starts a small business, it's an act of hope. And, Madam Vice President, I want to thank you for leading that effort to ensure that small businesses have access to capital and the historic laws we enacted that are going to just come into being. Standing here last year, I shared with you a story of American genius and possibilities.",0,68,379,3,20.4
biden_sotu_02_038,Biden,SOTU,02,38,Semiconductors—small computer chips the size of a fingerprint that power everything from cellphones to automobiles and so much more—these chips were invented in America. Let's get that straight: They were invented in America. And we used to make 40 percent of the world's chips.,0,44,278,3,13.2
biden_sotu_02_039,Biden,SOTU,02,39,"In the last several decades, we lost our edge. We're down to only producing 10 percent. We all saw what happened during the pandemic when chip factories shut down overseas.",0,30,172,3,9.0
biden_sotu_02_040,Biden,SOTU,02,40,"Today's automobiles need 3,000 chips—each of those automobiles—but American automobiles [automakers; White House correction] couldn't make enough cars because there weren't enough chips. Car prices went up. People got laid off.",0,31,227,3,9.3
biden_sotu_02_041,Biden,SOTU,02,41,So did everything from refrigerators to cell phones. We can never let that happen again. That's why—that's why we came together to pass the bipartisan CHIPS and Science Act.,0,29,173,3,8.7
biden_sotu_02_042,Biden,SOTU,02,42,"Folks, I know I've been criticized for saying this, but I'm not changing my view. We're going to make sure the supply chain for America begins in America—the supply chain begins in America. And we've already created—[applause ].",0,38,228,3,11.4
biden_sotu_02_043,Biden,SOTU,02,43,"We've already created 800,000 new manufacturing jobs without this law, before the law kicks in. With this new law, we're going to create hundreds of thousands of new jobs across the country. And I mean all across the country, throughout—not just the coast, but through the middle of the country as well.",0,52,303,3,15.6
biden_sotu_02_044,Biden,SOTU,02,44,"That's going to come from companies that have announced more than $300 billion in investment in American manufacturing over the next few years. Outside of Columbus, Ohio, Intel is building semiconductor factories on a thousand acres, literally a ""field of dreams."" It's going to create 10,000 jobs, that one investment; 7,000 construction jobs; 3,000 jobs in those factories once they're finished. They call them factors.",0,65,421,4,19.5
biden_sotu_02_045,Biden,SOTU,02,45,"Jobs paying an average of $130,000 a year, and many do not require a college degree. And jobs—because we worked together, these jobs where people don't have to leave home to search for opportunity. And it's just getting started.",0,39,228,3,11.7
biden_sotu_02_046,Biden,SOTU,02,46,"Think about the new homes, the small businesses, the big—the medium- sized businesses. So much more that's going to be needed to support those 3,000 permanent jobs and the factories that are going to be built. Talk to mayors and Governors, Democrats and Republicans, and they'll tell you what this means for their communities.",0,54,326,3,16.2
biden_sotu_02_047,Biden,SOTU,02,47,"We're seeing these ""fields of dreams"" transform the Heartland.",0,9,62,1,2.7
biden_sotu_02_048,Biden,SOTU,02,48,"But to maintain the strongest economy in the world, we need the best infrastructure in the world. And, folks, as you all know, we used to be number one in the world in infrastructure. We've sunk to 13th in the world.",0,41,216,3,12.3
biden_sotu_02_049,Biden,SOTU,02,49,"The United States of America—13th in the world in infrastructure, modern infrastructure.",0,12,88,1,3.6
biden_sotu_02_050,Biden,SOTU,02,50,"But now we're coming back because we came together and passed the bipartisan infrastructure law, the largest investment in infrastructure since President Eisenhower's Interstate Highway System. And, folks, already, we've funded over 20,000 projects, including major airports from Boston to Atlanta to Portland, projects that are going to put thousands of people to work rebuilding our highways, our bridges, our railroads, our tunnels, ports, airports, clean water, high-speed internet all across America: urban, rural, Tribal. And, folks, we're just getting started.",0,81,567,3,24.3
biden_sotu_02_051,Biden,SOTU,02,51,"We're just getting started. And I mean this sincerely: I want to thank my Republican friends who voted for the law. And my Republican friends who voted against it as well—but I'm still—I still get asked to fund the projects in those districts as well, but don't worry.",0,48,268,3,14.4
biden_sotu_02_052,Biden,SOTU,02,52,[Laughter] I promised I'd be a President for all Americans. We'll fund these projects. And I'll see you at the groundbreaking.,0,21,126,3,6.3
biden_sotu_02_053,Biden,SOTU,02,53,"Look, this law—this law will further unite all of America. Projects like Brent Spence Bridge in Kentucky over the Ohio River, built 60 years ago, badly in need of repairs. One of the Nation's most congested freight routes, carrying $2 billion worth of freight every single day across the Ohio River.",0,51,299,3,15.3
biden_sotu_02_054,Biden,SOTU,02,54,"And, folks, we've been talking about fixing it for decades, but we're really finally going to get it done. I went there last month with Democrats and Republicans in—from both States—to deliver a commitment of $1.6 billion for this project. And while I was there, I met a young woman named Saria, who's here tonight.",0,55,315,4,16.5
biden_sotu_02_055,Biden,SOTU,02,55,I don't know where Saria is. Is she up in the box? I don't know.,0,15,64,3,4.5
biden_sotu_02_056,Biden,SOTU,02,56,"Saria, how are you? Well, Saria—for 30 years—for 30 years—I learned—she told me she'd been a proud member of the Ironworkers Local 44, known as—known as the ""Cowboys in the Sky""—the folks who built Cincinnati's skyline. Saria said she can't wait to be 10 stories above the Ohio River building that new bridge.",0,53,309,3,15.9
biden_sotu_02_057,Biden,SOTU,02,57,God bless her. [Laughter] That's pride. And that's what we're also building: We're building back pride.,0,16,103,3,4.8
biden_sotu_02_058,Biden,SOTU,02,58,"Look, we're also replacing poisonous lead pipes that go into 10 million homes in America, 400,000 schools and childcare centers so every child in America—every child in American—can drink the water, instead of having permanent damage to their brain. Look, we're making sure—[applause ]—we're making sure that every community—every community in America—has access to affordable, high- speed internet. No parent should have to drive by a McDonald's parking lot to help their—do their homework online with their kids, which many— thousands were doing across the country.",0,86,567,3,25.8
biden_sotu_02_059,Biden,SOTU,02,59,"And when we do these projects—and, again, I get criticized about this, but I make no excuses for it—we're going to buy American. We're going to buy American. Folks—[applause ]—and it's totally—it's totally—consistent with international trade rules.",0,37,248,3,11.1
biden_sotu_02_060,Biden,SOTU,02,60,Buy American has been the law since 1933.,0,8,41,1,2.4
biden_sotu_02_061,Biden,SOTU,02,61,"But for too long, past administrations—Democrat and Republican—have fought to get around it. Not anymore.",0,15,105,2,4.5
biden_sotu_02_062,Biden,SOTU,02,62,Tonight I'm announcing new standards to require all construction materials used in Federal infrastructure projects to be made in America. Made in America. I mean it.,0,26,165,3,7.8
biden_sotu_02_063,Biden,SOTU,02,63,"Lumber, glass, drywall, fiber-optic cable. And on my watch, American roads, bridges, and American highways are going to be made with American products as well. Folks, my economic plan is about investing in places and people that have been forgotten.",0,40,249,3,12.0
biden_sotu_02_064,Biden,SOTU,02,64,"So many of you listening tonight, I know you feel it. So many of you felt like you've just simply been forgotten. Amid the economic upheaval of the past four decades, too many people have been left behind and treated like they're invisible.",0,43,240,3,12.9
biden_sotu_02_065,Biden,SOTU,02,65,"Maybe that's you, watching from home. You remember the jobs that went away. You remember them, don't you?",0,18,105,3,5.4
biden_sotu_02_066,Biden,SOTU,02,66,"The folks at home remember them. You wonder whether the path even exists anymore for your children to get ahead without having to move away. Well, that's why—I get that.",0,30,169,3,9.0
biden_sotu_02_067,Biden,SOTU,02,67,"That's why we're building an economy where no one is left behind. Jobs are coming back, pride is coming back, because of choices we made in the last several years. You know, this is, in my view, a blue-collar blueprint to rebuild America and make a real difference in your lives at home.",0,53,287,3,15.9
biden_sotu_02_068,Biden,SOTU,02,68,"For example, too many of you lay in bed at night, like my dad did, staring at the ceiling, wondering what in God's name happens if your spouse gets cancer or your child gets deadly ill or if something happens to you. What are you going—are you going to have the money to pay for those medical bills? Are you going to have to sell the house or try to get a second mortgage on it?",0,76,378,3,22.8
biden_sotu_02_069,Biden,SOTU,02,69,"I get it. I get it. With the Inflation Reduction Act that I signed into law, we're taking on powerful interests to bring health care costs down so you can sleep better at night with more security.",0,37,196,3,11.1
biden_sotu_02_070,Biden,SOTU,02,70,"You know, we pay more for prescription drugs than any nation in the world.",0,14,74,1,4.2
biden_sotu_02_071,Biden,SOTU,02,71,Let me say it again: We pay more for prescription drugs than any major nation on Earth.,0,17,87,1,5.1
biden_sotu_02_072,Biden,SOTU,02,72,"For example, 1 in 10 Americans has diabetes. Many of you in this chamber do and in the audience.",0,19,96,2,5.7
biden_sotu_02_073,Biden,SOTU,02,73,"But every day, millions need insulin to control their diabetes so they can literally stay alive. Insulin has been around for over 100 years. The guy who invented it didn't even patent it because he wanted it to be available for everyone.",0,42,237,3,12.6
biden_sotu_02_074,Biden,SOTU,02,74,"It costs the drug companies roughly $10 a vial to make that insulin. Package it and all, you may get up to $13.",0,23,111,2,6.9
biden_sotu_02_075,Biden,SOTU,02,75,"But Big Pharma has been unfairly charging people hundreds of dollars, $4- to $500 a month, making record profits. Not anymore. Not anymore.",0,23,139,3,6.9
biden_sotu_02_076,Biden,SOTU,02,76,Audience members. Not anymore! Not anymore!,0,6,43,3,1.8
biden_sotu_02_077,Biden,SOTU,02,77,Not anymore! The President . So many things that we did are only now coming to fruition.,0,17,88,3,5.1
biden_sotu_02_078,Biden,SOTU,02,78,"We said we were doing this, and we said we'd pass the law to do it, but people didn't know because the law didn't take effect until January 1 of this year. We capped the cost of insulin at $35 a month for seniors on Medicare.",0,46,225,2,13.8
biden_sotu_02_079,Biden,SOTU,02,79,"But people are just finding out. I'm sure you're getting the same calls I'm getting. Look, there are millions of other Americans who do not—are not on Medicare, including 200,000 young people with type 1 diabetes who need these insulin—need this insulin to stay alive.",0,45,268,3,13.5
biden_sotu_02_080,Biden,SOTU,02,80,"Let's finish the job this time. Let's cap the cost of insulin for everybody at $35. Folks—and Big Pharma is still going to do very well, I promise you all.",0,30,155,3,9.0
biden_sotu_02_081,Biden,SOTU,02,81,"[Laughter] I promise you they're going to do very well. This law also—this law also caps—and it won't even go into effect until 2025. It costs [caps; White House correction] out-of-pocket drug costs for seniors on Medicare at a maximum of $2,000 a year.",0,44,253,3,13.2
biden_sotu_02_082,Biden,SOTU,02,82,"You don't have to pay more than $2,000 a year, no matter how much your drug costs are. Because you know why? You all know it.",0,26,125,3,7.8
biden_sotu_02_083,Biden,SOTU,02,83,"Many of you, like many of my family, have cancer. You know the drugs can range from $10-, $11-, $14-, $15,000 for the cancer drugs. And if drug prices rise faster than inflation, drug companies are going to have to pay Medicare back the difference.",0,45,248,3,13.5
biden_sotu_02_084,Biden,SOTU,02,84,"And we're finally—we're finally giving Medicare the power to negotiate drug prices. Bringing down—bringing down prescription drug costs doesn't just save seniors money, it cuts the Federal deficit by billions of dollars— [applause ]—by hundreds of billions of dollars because these prescription drugs are drugs purchased by Medicare to make—keep their commitment to the seniors. Well, guess what?",0,58,396,3,17.4
biden_sotu_02_085,Biden,SOTU,02,85,"Instead of paying 4- or 500 bucks a month, you're paying 15. That's a lot of savings for the Federal Government. And by the way, why wouldn't we want that?",0,30,155,3,9.0
biden_sotu_02_086,Biden,SOTU,02,86,"Now, some Members here are threatening—and I know it's not an official party position, so I'm not going to exaggerate—but threatening to repeal the Inflation Reduction Act. As my coach—that's okay. That's fair.",0,33,210,3,9.9
biden_sotu_02_087,Biden,SOTU,02,87,"As my football coach used to say, ""Lots of luck in your senior year."" [Laughter] Make no mistake, if you try anything to raise the cost of prescription drugs, I will veto it. And look, I'm pleased to say that more Americans health—have health insurance now than ever in history. A record 16 million people are enrolled in the Affordable Care Act.",0,62,346,4,18.6
biden_sotu_02_088,Biden,SOTU,02,88,"And thanks to the law I signed last year, saving— millions are saving $800 a year on their premiums. And by the way, that law was written—and the benefit expires in 2025. So my plea to some of you, at least in this audience: Let's finish the job and make these savings permanent.",0,53,279,3,15.9
biden_sotu_02_089,Biden,SOTU,02,89,"Expand coverage on Medicaid. Look, the Inflation Reduction Act is also the most significant investment ever in climate change—ever. Lowering utility bills, creating American jobs, leading the world to a clean energy future.",0,33,223,3,9.9
biden_sotu_02_090,Biden,SOTU,02,90,"I visited the devastating aftermath of record floods, droughts, storms, and wildfires from Arizona to New Mexico to all the way up to the Canadian border. More timber has been burned that I've observed from helicopters than the entire State of Missouri. And we don't have global warming?",0,48,287,3,14.4
biden_sotu_02_091,Biden,SOTU,02,91,"Not a problem. In addition to emergency recovery from Puerto Rico to Florida to Idaho, we're rebuilding for the long term. New electric grids that are able to weather major storms and not—prevent those fire—forest fires.",0,36,220,3,10.8
biden_sotu_02_092,Biden,SOTU,02,92,"Roads and water systems to withstand the next big flood. Clean energy to cut pollution and create jobs in communities often left behind. We're going to build 500,000 electric vehicle charging stations, installed across the country by tens of thousands of IBEW workers.",0,43,268,3,12.9
biden_sotu_02_093,Biden,SOTU,02,93,"And we're helping families save more than $1,000 a year with tax credits to purchase electric vehicles and efficient—and efficient appliances—energy-efficient appliances. Historic conservation efforts to be responsible stewards of our land. Let's face reality.",0,35,260,3,10.5
biden_sotu_02_094,Biden,SOTU,02,94,The climate crisis doesn't care if you're in a red or a blue State. It's an existential threat.,0,18,95,2,5.4
biden_sotu_02_095,Biden,SOTU,02,95,"We have an obligation not to ourselves, but to our children and our grandchildren to confront it. I'm proud of how the—how America, at last, is stepping up to the challenge. We're still going to need oil and gas for a while, but guess what—[applause ] —no, we do—but there's so much more to do.",0,55,294,3,16.5
biden_sotu_02_096,Biden,SOTU,02,96,We've got to finish the job. And we pay for these investments in our future by finally making the wealthiest and biggest corporations begin to pay their fair share. Just begin.,0,31,176,3,9.3
biden_sotu_02_097,Biden,SOTU,02,97,"Look, I'm a capitalist. I'm a capitalist.",0,7,41,2,2.1
biden_sotu_02_098,Biden,SOTU,02,98,But pay your fair share. I think a lot of you at home—a lot of you at home—agree with me and many people that you know: The tax system is not fair. It is not fair.,0,36,163,3,10.8
