id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
trump_sotu_01_001,Trump,SOTU,01,1,"DONALD J. TRUMP Address to a Joint Session of Congress January 30, 2018 Thank you very much. Mr.",0,18,96,3,5.4
trump_sotu_01_002,Trump,SOTU,01,2,"Speaker, Mr. Vice President, Members of Congress, the First Lady of the United States, and citizens of America: Tonight, as we mark the conclusion of our celebration of Black History Month, we are reminded of our Nation's path towards civil rights and the work that still remains to be done. Recent threats targeting Jewish community centers and vandalism of Jewish cemeteries, as well as last week's shooting in Kansas City, remind us that while we may be a nation divided on policies, we are a country that stands united in condemning hate and evil in all of its very ugly forms.",0,101,581,3,30.3
trump_sotu_01_003,Trump,SOTU,01,3,"Each American generation passes the torch of truth, liberty, and justice in an unbroken chain, all the way down to the present. That torch is now in our hands, and we will use it to light up the world.",0,39,201,2,11.7
trump_sotu_01_004,Trump,SOTU,01,4,"I am here tonight to deliver a message of unity and strength, and it is a message deeply delivered from my heart. A new chapter of American greatness is now beginning. A new national pride is sweeping across our Nation.",0,40,219,3,12.0
trump_sotu_01_005,Trump,SOTU,01,5,And a new surge of optimism is placing impossible dreams firmly within our grasp. What we are witnessing today is the renewal of the American spirit. Our allies will find that America is once again ready to lead.,0,38,212,3,11.4
trump_sotu_01_006,Trump,SOTU,01,6,"All the nations of the world—friend or foe—will find that America is strong, America is proud, and America is free. In 9 years, the United States will celebrate the 250th anniversary of our founding: 250 years since the day we declared our independence. It will be one of the great milestones in the history of the world.",0,57,321,3,17.1
trump_sotu_01_007,Trump,SOTU,01,7,But what will America look like as we reach our 250th year? What kind of country will we leave for our children?,0,22,112,2,6.6
trump_sotu_01_008,Trump,SOTU,01,8,I will not allow the mistakes of recent decades past to define the course of our future.,0,17,88,1,5.1
trump_sotu_01_009,Trump,SOTU,01,9,"For too long, we've watched our middle class shrink as we've exported our jobs and wealth to foreign countries. We've financed and built one global project after another, but ignored the fates of our children in the inner cities of Chicago, Baltimore, Detroit, and so many other places throughout our land. We've defended the borders of other nations, while leaving our own borders wide open for anyone to cross and for drugs to pour in at a now unprecedented rate.",0,80,465,3,24.0
trump_sotu_01_010,Trump,SOTU,01,10,"And we've spent trillions and trillions of dollars overseas, while our infrastructure at home has so badly crumbled. Then, in 2016, the Earth shifted beneath our feet. The rebellion started as a quiet protest, spoken by families of all colors and creeds, families who just wanted a fair shot for their children and a fair hearing for their concerns.",0,59,349,3,17.7
