id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
trump_sotu_02_029,Trump,SOTU,02,29,"Now is the time for bipartisan action. Believe it or not, we have already proven that that's possible. In the last Congress, both parties came together to pass unprecedented legislation to confront the opioid crisis, a sweeping new farm bill, historic VA reforms.",0,43,263,3,12.9
trump_sotu_02_030,Trump,SOTU,02,30,"And after four decades of rejection, we passed VA Accountability so that we can finally terminate those who mistreat our wonderful veterans. And just weeks ago, both parties united for groundbreaking criminal justice reform. They said it couldn't be done.",0,40,255,3,12.0
trump_sotu_02_031,Trump,SOTU,02,31,"Last year, I heard, through friends, the story of Alice Johnson. I was deeply moved. In 1997, Alice was sentenced to life in prison as a first-time nonviolent drug offender.",0,30,173,3,9.0
trump_sotu_02_032,Trump,SOTU,02,32,"Over the next 22 years, she became a prison minister, inspiring others to choose a better path. She had a big impact on that prison population and far beyond. Alice's story underscores the disparities and unfairness that can exist in criminal sentencing and the need to remedy this total injustice.",0,50,298,3,15.0
trump_sotu_02_033,Trump,SOTU,02,33,"She served almost that 22 years and had expected to be in prison for the remainder of her life. In June, I commuted Alice's sentence.",0,25,133,2,7.5
trump_sotu_02_034,Trump,SOTU,02,34,"When I saw Alice's beautiful family greet her at the prison gates, hugging and kissing and crying and laughing, I knew I did something right. Alice is with us tonight, and she is a terrific woman. Terrific.",0,37,206,3,11.1
trump_sotu_02_035,Trump,SOTU,02,35,"Alice, please. Alice, thank you for reminding us that we always have the power to shape our own destiny. Thank you very much, Alice.",0,24,132,3,7.2
trump_sotu_02_036,Trump,SOTU,02,36,"Thank you very much. Inspired by stories like Alice's, my administration worked closely with members of both parties to sign the First Step Act into law. Big deal.",0,28,163,3,8.4
trump_sotu_02_037,Trump,SOTU,02,37,"It's a big deal. This legislation reformed sentencing laws that have wrongly and disproportionately harmed the African American community. The First Step Act gives nonviolent offenders the chance to reenter society as productive, law-abiding citizens.",0,35,251,3,10.5
trump_sotu_02_038,Trump,SOTU,02,38,Now States across the country are following our lead.,0,9,53,1,2.7
trump_sotu_02_039,Trump,SOTU,02,39,America is a nation that believes in redemption.,0,8,48,1,2.4
trump_sotu_02_040,Trump,SOTU,02,40,"We are also joined tonight by Matthew Charles from Tennessee. In 1996, at the age of 30, Matthew was sentenced to 35 years for selling drugs and related offenses. Over the next two decades, he completed more than 30 Bible studies, became a law clerk, and mentored many of his fellow inmates.",0,52,291,3,15.6
trump_sotu_02_041,Trump,SOTU,02,41,"Now Matthew is the very first person to be released from prison under the First Step Act. Matthew, please. Thank you, Matthew.",0,22,126,3,6.6
trump_sotu_02_042,Trump,SOTU,02,42,"Now Republicans and Democrats must join forces again to confront an urgent national crisis. Congress has 10 days left to pass a bill that will fund our Government, protect our homeland, and secure our very dangerous southern border.",0,38,232,2,11.4
trump_sotu_02_043,Trump,SOTU,02,43,"Now is the time for Congress to show the world that America is committed to ending illegal immigration and putting the ruthless coyotes, cartels, drug dealers, and human traffickers out of business.",0,32,198,1,9.6
trump_sotu_02_044,Trump,SOTU,02,44,"As we speak, large, organized caravans are on the march to the United States.",0,14,77,1,4.2
trump_sotu_02_045,Trump,SOTU,02,45,"We have just heard that Mexican cities, in order to remove the illegal immigrants from their communities, are getting trucks and buses to bring them up to our country in areas where there is little border protection.",0,37,216,1,11.1
trump_sotu_02_046,Trump,SOTU,02,46,"I have ordered another 3,750 troops to our southern border to prepare for this tremendous onslaught. This is a moral issue. The lawless state of our southern border is a threat to the safety, security, and financial well-being of all America.",0,41,242,3,12.3
trump_sotu_02_047,Trump,SOTU,02,47,We have a moral duty to create an immigration system that protects the lives and jobs of our citizens. This includes our obligation to the millions of immigrants living here today who followed the rules and respected our laws. Legal immigrants enrich our Nation and strengthen our society in countless ways.,0,51,307,3,15.3
trump_sotu_02_048,Trump,SOTU,02,48,"I want people to come into our country in the largest numbers ever, but they have to come in legally.",0,20,101,1,6.0
trump_sotu_02_049,Trump,SOTU,02,49,Tonight I am asking you to defend our very dangerous southern border out of love and devotion to our fellow citizens and to our country. No issue better illustrates the divide between America's working class and America's political class than illegal immigration. Wealthy politicians and donors push for open borders while living their lives behind walls and gates and guards.,0,60,376,3,18.0
trump_sotu_02_050,Trump,SOTU,02,50,"Meanwhile, working-class Americans are left to pay the price for mass illegal immigration: reduced jobs, lower wages, overburdened schools, hospitals that are so crowded you can't get in, increased crime, and a depleted social safety net. Tolerance for illegal immigration is not compassionate; it is actually very cruel. One in three women is sexually assaulted on the long journey north.",0,60,389,3,18.0
trump_sotu_02_051,Trump,SOTU,02,51,"Smugglers use migrant children as human pawns to exploit our laws and gain access to our country. Human traffickers and sex traffickers take advantage of the wide-open areas between our ports of entry to smuggle thousands of young girls and women into the United States and to sell them into prostitution and modern-day slavery. Tens of thousands of innocent Americans are killed by lethal drugs that cross our border and flood into our cities, including meth, heroin, cocaine, and fentanyl.",0,80,491,3,24.0
trump_sotu_02_052,Trump,SOTU,02,52,"The savage gang, MS-13, now operates in at least 20 different American States, and they almost all come through our southern border. Just yesterday an MS-13 gang member was taken into custody for a fatal shooting on a subway platform in New York City.",0,44,251,2,13.2
trump_sotu_02_053,Trump,SOTU,02,53,We are removing these gang members by the thousands.,0,9,52,1,2.7
trump_sotu_02_054,Trump,SOTU,02,54,"But until we secure our border, they're going to keep streaming right back in. Year after year, countless Americans are murdered by criminal illegal aliens. I've gotten to know many wonderful Angel moms and dads and families.",0,37,225,3,11.1
trump_sotu_02_055,Trump,SOTU,02,55,"No one should ever have to suffer the horrible heartache that they have had to endure. Here tonight is Debra Bissell. Just 3 weeks ago, Debra's parents Gerald and Sharon were burglarized and shot to death in their Reno, Nevada, home by an illegal alien.",0,45,253,3,13.5
trump_sotu_02_056,Trump,SOTU,02,56,"They were in their eighties and are survived by 4 children, 11 grandchildren, and 20 great-grandchildren. Also here tonight are Gerald and Sharon's granddaughter Heather and great-granddaughter Madison.",0,28,202,2,8.4
trump_sotu_02_057,Trump,SOTU,02,57,"To Debra, Heather, Madison, please stand. Few can understand your pain. Thank you.",0,13,82,3,3.9
trump_sotu_02_058,Trump,SOTU,02,58,And thank you for being here. Thank you very much.,0,10,50,2,3.0
trump_sotu_02_059,Trump,SOTU,02,59,"I will never forget, and I will fight for the memory of Gerald and Sharon that it should never happen again. Not one more American life should be lost because our Nation failed to control its very dangerous border. In the last 2 years, our brave ICE officers made 266,000 arrests of criminal aliens, including those charged or convicted of nearly 100,000 assaults, 30,000 sex crimes, and 4,000 killings or murders.",0,71,414,3,21.3
trump_sotu_02_060,Trump,SOTU,02,60,We are joined tonight by one of those law enforcement heroes: ICE Special Agent Elvin Hernandez.,0,16,96,1,4.8
trump_sotu_02_061,Trump,SOTU,02,61,"When Elvin was a boy, he and his family legally immigrated to the United States from the Dominican Republic. At the age of 8, Elvin told his dad he wanted to become a Special Agent. Today, he leads investigations into the scourge of international sex trafficking.",0,46,263,3,13.8
trump_sotu_02_062,Trump,SOTU,02,62,"Elvin says that ""If I can make sure these young girls get their justice, I've really done my job."" Thanks to his work, and that of his incredible colleagues, more than 300 women and girls have been rescued from the horror of this terrible situation, and more than 1,500 sadistic traffickers have been put behind bars. Thank you, Elvin.",0,59,335,3,17.7
trump_sotu_02_063,Trump,SOTU,02,63,"We will always support the brave men and women of law enforcement, and I pledge to you tonight that I will never abolish our heroes from ICE. Thank you.",0,29,152,2,8.7
trump_sotu_02_064,Trump,SOTU,02,64,"My administration has sent to Congress a commonsense proposal to end the crisis on the southern border. It includes humanitarian assistance, more law enforcement, drug detection at our ports, closing loopholes that enable child smuggling, and plans for a new physical barrier, or wall, to secure the vast areas between our ports of entry. In the past, most of the people in this room voted for a wall, but the proper wall never got built.",0,75,438,3,22.5
trump_sotu_02_065,Trump,SOTU,02,65,"I will get it built. This is a smart, strategic, see-through steel barrier, not just a simple concrete wall. It will be deployed in the areas identified by the border agents as having the greatest need.",0,36,202,3,10.8
trump_sotu_02_066,Trump,SOTU,02,66,"And these agents will tell you: Where walls go up, illegal crossings go way, way down. San Diego used to have the most illegal border crossings in our country. In response, a strong security wall was put in place.",0,39,213,3,11.7
trump_sotu_02_067,Trump,SOTU,02,67,"This powerful barrier almost completely ended illegal crossings. The border city of El Paso, Texas, used to have extremely high rates of violent crime, one of the highest in the entire country, and considered one of our Nation's most dangerous cities. Now, immediately upon its building, with a powerful barrier in place, El Paso is one of the safest cities in our country.",0,63,373,3,18.9
trump_sotu_02_068,Trump,SOTU,02,68,"Simply put: Walls work, and walls save lives. So let's work together, compromise, and reach a deal that will truly make America safe.",0,23,133,2,6.9
trump_sotu_02_069,Trump,SOTU,02,69,"As we work to defend our people's safety, we must also ensure our economic resurgence continues at a rapid pace. No one has benefited more from our thriving economy than women, who have filled 58 percent of the newly created jobs last year. [At this point, Democratic Congresswomen joined other Members of Congress, Cabinet members, and attendees in a standing ovation.",0,61,369,3,18.3
trump_sotu_02_070,Trump,SOTU,02,70,] You weren't supposed to do that. Thank you very much. Thank you very much.,0,15,76,3,4.5
